*****************************
Basic coeficients
*****************************
Alpha, Cd
   20.00    ,     .000    

Alpha, CLad_Basic
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Cmad_Basic
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Clp
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Cyp
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Cnp
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Cnr
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

Alpha, Clr
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   20.00    ,     .000    

*****************************
Flap terms
*****************************
*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   3.000    ,     .000    
   4.000    ,     .000    
   5.000    ,     .000    
   6.000    ,     .000    
   7.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   11.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,    .1000E-29
   20.00    ,     .000    

DeltaElev, CL_Elev

DeltaElev, Cm_Elev

DeltaElev, CLa_Elev

DeltaElev, Cha_Elev

DeltaElev, Chd_Elev



