*****************************
Basic coeficients
*****************************
Alpha, Cd
   18.00    ,   -.2629    
   19.00    ,   -.2629    
   20.00    ,   -.2629    
   21.00    ,   -.2629    
   22.00    ,   -.2629    
   24.00    ,   -.2629    

Alpha, CLad_Basic
  -16.00    ,    .3114E-01
  -8.000    ,    .3679E-01
  -6.000    ,    .3868E-01
  -4.000    ,    .3942E-01
  -2.000    ,    .4023E-01
    .000    ,    .4151E-01
   2.000    ,    .4290E-01
   4.000    ,    .4370E-01
   8.000    ,    .4112E-01
   9.000    ,    .3953E-01
   10.00    ,    .3585E-01
   12.00    ,    .2462E-01
   14.00    ,    .7982E-02
   16.00    ,   -.6738E-02
   18.00    ,   -.1553E-01
   19.00    ,   -.1050E-01
   20.00    ,    .5190E-02
   21.00    ,    .2811E-02
   22.00    ,   -.3446E-02
   24.00    ,    .4615E-02

Alpha, Cmad_Basic
  -16.00    ,   -.8757E-01
  -8.000    ,   -.1035    
  -6.000    ,   -.1088    
  -4.000    ,   -.1108    
  -2.000    ,   -.1131    
    .000    ,   -.1167    
   2.000    ,   -.1206    
   4.000    ,   -.1229    
   8.000    ,   -.1156    
   9.000    ,   -.1111    
   10.00    ,   -.1008    
   12.00    ,   -.6924E-01
   14.00    ,   -.2245E-01
   16.00    ,    .1895E-01
   18.00    ,    .4367E-01
   19.00    ,    .2952E-01
   20.00    ,   -.1459E-01
   21.00    ,   -.7906E-02
   22.00    ,    .9691E-02
   24.00    ,   -.1298E-01

Alpha, Clp
  -16.00    ,   -.6164E-02
  -8.000    ,   -.8207E-02
  -6.000    ,   -.8390E-02
  -4.000    ,   -.8209E-02
  -2.000    ,   -.8133E-02
    .000    ,   -.8248E-02
   2.000    ,   -.8388E-02
   4.000    ,   -.8343E-02
   8.000    ,   -.6756E-02
   9.000    ,   -.6048E-02
   10.00    ,   -.5266E-02
   12.00    ,   -.3544E-02
   14.00    ,    .1423E-02
   16.00    ,    .6893E-02
   18.00    ,    .7468E-02
   19.00    ,    .5777E-02
   20.00    ,    .4163E-02
   21.00    ,    .4087E-02
   22.00    ,    .3429E-02
   24.00    ,   -.2051E-03

Alpha, Cyp
  -16.00    ,   -.5944E-03
  -8.000    ,   -.1144E-02
  -6.000    ,   -.1323E-02
  -4.000    ,   -.1490E-02
  -2.000    ,   -.1648E-02
    .000    ,   -.1806E-02
   2.000    ,   -.1969E-02
   4.000    ,   -.2135E-02
   8.000    ,   -.2467E-02
   9.000    ,   -.2524E-02
   10.00    ,   -.2573E-02
   12.00    ,   -.2633E-02
   14.00    ,   -.2793E-02
   16.00    ,    .1317E-01
   18.00    ,   -.1224E-02
   19.00    ,   -.9774E-03
   20.00    ,   -.7435E-04
   21.00    ,   -.6770E-03
   22.00    ,   -.2652E-03
   24.00    ,   -.9024E-03

Alpha, Cnp
  -16.00    ,    .1756E-02
  -8.000    ,    .7937E-03
  -6.000    ,    .5200E-03
  -4.000    ,    .2579E-03
  -2.000    ,   -.3248E-05
    .000    ,   -.2680E-03
   2.000    ,   -.5377E-03
   4.000    ,   -.8162E-03
   8.000    ,   -.1427E-02
   9.000    ,   -.1574E-02
   10.00    ,   -.1721E-02
   12.00    ,   -.1990E-02
   14.00    ,   -.2332E-02
   16.00    ,   -.7048E-02
   18.00    ,   -.2381E-02
   19.00    ,   -.2210E-02
   20.00    ,   -.2294E-02
   21.00    ,   -.2022E-02
   22.00    ,   -.2051E-02
   24.00    ,   -.1792E-02

Alpha, Cnr
  -16.00    ,   -.1918E-02
  -8.000    ,   -.1865E-02
  -6.000    ,   -.1861E-02
  -4.000    ,   -.1865E-02
  -2.000    ,   -.1877E-02
    .000    ,   -.1895E-02
   2.000    ,   -.1921E-02
   4.000    ,   -.1955E-02
   8.000    ,   -.2041E-02
   9.000    ,   -.2061E-02
   10.00    ,   -.2079E-02
   12.00    ,   -.2106E-02
   14.00    ,   -.2119E-02
   16.00    ,   -.2065E-02
   18.00    ,   -.1996E-02
   19.00    ,   -.1968E-02
   20.00    ,   -.1948E-02
   21.00    ,   -.1930E-02
   22.00    ,   -.1910E-02
   24.00    ,   -.1882E-02

Alpha, Clr
  -16.00    ,   -.3181E-02
  -8.000    ,   -.1197E-02
  -6.000    ,   -.6095E-03
  -4.000    ,   -.3546E-04
  -2.000    ,    .5210E-03
    .000    ,    .1080E-02
   2.000    ,    .1649E-02
   4.000    ,    .2223E-02
   8.000    ,    .3317E-02
   9.000    ,    .3524E-02
   10.00    ,    .3703E-02
   12.00    ,    .3965E-02
   14.00    ,    .4094E-02
   16.00    ,    .3610E-02
   18.00    ,    .2922E-02
   19.00    ,    .2626E-02
   20.00    ,    .2423E-02
   21.00    ,    .2245E-02
   22.00    ,    .2047E-02
   24.00    ,    .1853E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1583    
  -15.00    ,   -.1501    
  -10.00    ,   -.1059    
  -5.000    ,   -.5294E-01
    .000    ,     .000    
   5.000    ,    .5294E-01
   10.00    ,    .1059    
   13.00    ,    .1349    
   16.00    ,    .1562    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .4518    
  -15.00    ,    .4268    
  -10.00    ,    .3011    
  -5.000    ,    .1505    
    .000    ,     .000    
   5.000    ,   -.1505    
   10.00    ,   -.3011    
   13.00    ,   -.3834    
   16.00    ,   -.4445    

Cd_Flaps for Plain flaps
